feature_id,family,target,fold,system,name,ensemble,threshold,acc,prec,rec,f1,tn,fp,fn,tp,roc_auc,pr_auc,train_time,infer_time
SkipGram_compact_dim64_win3,SkipGram,S8,2,single,LinearSVC,-,0.7673578858375549,0.8421588594704684,0.7376460017969452,0.9785458879618594,0.8411885245901639,833.0,292.0,18.0,821.0,0.955497814858959,0.9049920563231363,0.0,0.0009303092956542969
SkipGram_compact_dim64_win3,SkipGram,S8,2,within_feature,LR+KNN+DT+RF+LinearSVC,All_Hard,,0.9078411405295316,0.829,0.9880810488676997,0.9015769439912996,954.0,171.0,10.0,829.0,,,0.0,0.04696345329284668
SkipGram_compact_dim64_win3,SkipGram,S8,2,within_feature,LR+KNN+DT+RF+LinearSVC,All_Soft,0.40580286979675295,0.9317718940936863,0.8794402583423035,0.9737783075089392,0.9242081447963801,1013.0,112.0,22.0,817.0,0.981883724010065,0.9654653668149062,0.0,0.0779268741607666
SkipGram_compact_dim64_win3,SkipGram,S8,2,within_feature,LR+KNN+DT+RF+LinearSVC,All_WeightedSoft,0.4080432534217836,0.9332993890020367,0.8822894168466523,0.9737783075089392,0.9257790368271954,1016.0,109.0,22.0,817.0,0.9824357038802807,0.9669034074867926,0.0,0.07744979858398438
SkipGram_compact_dim64_win3,SkipGram,S8,2,within_feature,RF+KNN,Best2_Hard,,0.8818737270875764,0.7887725975261656,0.9880810488676997,0.8772486772486773,903.0,222.0,10.0,829.0,,,0.0,0.04562211036682129
SkipGram_compact_dim64_win3,SkipGram,S8,2,within_feature,RF+KNN,Best2_Soft,0.3992515206336975,0.9287169042769857,0.8896321070234113,0.9511323003575686,0.9193548387096774,1026.0,99.0,41.0,798.0,0.9847289100781353,0.9753155629445912,0.0,0.05996990203857422
SkipGram_compact_dim64_win3,SkipGram,S8,2,within_feature,RF+KNN,Best2_WeightedSoft,0.3972899436950685,0.9276985743380856,0.8876529477196885,0.9511323003575686,0.9182968929804373,1024.0,101.0,41.0,798.0,0.9847702291087272,0.9753576860177559,0.0,0.06061577796936035
SkipGram_compact_dim64_win3,SkipGram,S8,2,within_feature,DT+LR,Fast2_Hard,,0.7072301425661914,0.5938833570412517,0.9952324195470799,0.7438752783964365,554.0,571.0,4.0,835.0,,,0.0,0.0004458427429199219
SkipGram_compact_dim64_win3,SkipGram,S8,2,within_feature,DT+LR,Fast2_Soft,0.34412993788719176,0.8584521384928717,0.764373232799246,0.966626936829559,0.8536842105263158,875.0,250.0,28.0,811.0,0.9532167924778174,0.8938623690422902,0.0,0.030939340591430664
SkipGram_compact_dim64_win3,SkipGram,S8,2,within_feature,DT+LR,Fast2_WeightedSoft,0.341293865442276,0.8553971486761711,0.7591036414565826,0.9690107270560191,0.8513089005235602,867.0,258.0,26.0,813.0,0.9534890742947955,0.894029459426019,0.0,0.030084848403930664
