feature_id,family,system,name,ensemble,avg_f1,worst_f1,std_f1,avg_roc_auc,worst_roc_auc,std_roc_auc,avg_pr_auc,worst_pr_auc,std_pr_auc,avg_prec,avg_rec,avg_acc,worst_acc,std_acc,train_time,infer_time
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,RF+KNN,Best2_WeightedSoft,0.6811058962975257,0.24980698913214275,0.2671349402551646,0.9127849251507674,0.7821121281610885,0.07628201668999883,0.9380752352758001,0.8423779286047808,0.04685656095775024,0.8902207016408655,0.6199135222761825,0.6986409435424011,0.32517047855851994,0.24043296522344293,0.0,0.11028756946325302
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,LR+KNN+DT+RF+LinearSVC,All_Soft,0.6794841113375676,0.30106037662022966,0.261851134268921,0.8963592147957842,0.7757048310104703,0.08398851016541475,0.9320498369141995,0.8699059597146276,0.04256949572526606,0.8989150856729387,0.6147264750136957,0.6917720461241512,0.2989970968000047,0.25684140527331,0.0,0.1281800389289856
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,LR+KNN+DT+RF+LinearSVC,All_WeightedSoft,0.6794683693563062,0.3014386961405047,0.26226974260866387,0.8980126797090189,0.77767200360428,0.0829743078529265,0.933061581804477,0.8714080045512294,0.04303036245894671,0.9009072712522765,0.6132500208756495,0.6917834419903686,0.29933406501907633,0.256867775904262,0.0,0.1285289466381073
OpPhrase_unigram_only_dim128_win5,OpPhrase,single,RF,-,0.6781549525999341,0.2509758992988127,0.28034677101211125,0.899038756099708,0.7483748133062182,0.09468480166218027,0.9302290629283494,0.803569647312685,0.05914683685993621,0.9019192774535647,0.6118388948428869,0.6968977890177747,0.3076474213283042,0.2554934305938848,0.0,0.033197879791259766
SkipGram_compact_dim64_win3,SkipGram,within_feature,RF+KNN,Best2_Soft,0.6759351604213253,0.2445177363610261,0.27506329461259543,0.9088270229921531,0.7686376923666789,0.08044527634605231,0.9351480571117163,0.83590236023218,0.04959836116025099,0.8847362760033997,0.6211199315432429,0.6960264614127766,0.31258995970522935,0.24635568984732675,0.0,0.08505941480398178
SkipGram_compact_dim64_win3,SkipGram,within_feature,RF+KNN,Best2_WeightedSoft,0.6743742071881959,0.23579594201039641,0.27672120592580673,0.9087276215822798,0.7682173658992406,0.08068634957281022,0.9351007778661111,0.8354385508470233,0.04974406264378256,0.8861457386811222,0.6184883569670419,0.695444722125771,0.3125057137069142,0.24642867262051915,0.0,0.08516641408205032
SkipGram_compact_dim64_win3,SkipGram,within_feature,DT+LR,Fast2_Soft,0.6710880161386579,0.3460394753515268,0.21981315142974656,0.8491966300863977,0.6948399110350685,0.10074606313471828,0.8850282056199511,0.8178817686683593,0.05960757501073764,0.8258975878824928,0.6408884182303278,0.6773756577184213,0.3197229571351013,0.20929973913492683,0.0,0.030136261880397794
SkipGram_compact_dim64_win3,SkipGram,single,RF,-,0.6706037011797257,0.23409459919157,0.2900449434430046,0.8962340123629462,0.744867456240312,0.09743013892813512,0.9277338125980101,0.7930168478147179,0.0629212376993136,0.8969270960775251,0.6050690049348596,0.6903872312231074,0.2934651361444594,0.2626667291597331,0.0,0.030881160497665407
SkipGram_compact_dim64_win3,SkipGram,single,DT,-,0.6694999245036067,0.2706559662826156,0.2493849930509062,0.7479068201386823,0.5072438685085741,0.14865293483868836,0.8071721983439366,0.6470957657979202,0.10366299790521855,0.8493554917287405,0.6163662181665615,0.6801650482980897,0.3196106685728196,0.22767413400453512,0.0,0.00027611851692199707
SkipGram_compact_dim64_win3,SkipGram,within_feature,DT+LR,Fast2_WeightedSoft,0.6694803317059306,0.34764667617827427,0.2203550500300775,0.8491376484591711,0.6939245180306193,0.10083799657705945,0.8849334054593454,0.817077987863275,0.05977823265413998,0.8282646816501305,0.6385992320456495,0.6767302383790659,0.32137995284385157,0.20905682223993646,0.0,0.029828174412250517
SkipGram_compact_dim64_win3,SkipGram,within_feature,LR+KNN+DT+RF+LinearSVC,All_WeightedSoft,0.6654501375845939,0.2957542869165642,0.27752660729800627,0.8938290653103256,0.7674691799570537,0.08752573926145081,0.929017786388575,0.861265032394219,0.04685935570905482,0.8886514640989323,0.6051448793347114,0.6852031491126914,0.29523458210092557,0.2613515506249837,0.0,0.10390995740890503
OpPhrase_unigram_only_dim128_win5,OpPhrase,single,DT,-,0.66523793988469,0.32126374885459724,0.24548813170306436,0.7473324488972805,0.5394157424770558,0.14946988240984596,0.8121219632802871,0.667698934426711,0.09422714652986272,0.8555565320522966,0.6118693726782598,0.6733285608425065,0.3199180720187148,0.23248676463851167,0.0,0.0004109501838684082
SkipGram_compact_dim64_win3,SkipGram,within_feature,LR+KNN+DT+RF+LinearSVC,All_Soft,0.6651237481228083,0.29500907601610893,0.27600336771975126,0.89185862470001,0.7639466712399299,0.08911021340237271,0.9276788463050487,0.8588032172829718,0.04696244012134061,0.8827321583419732,0.6095379205052487,0.6841600949731665,0.2969195336156045,0.259655470067224,0.0,0.10374466180801392
LiWP_n3_minDf1_SPARSE,LiWP,within_feature,LR+LinearSVC+KNN+DT+RF,All_WeightedSoft,0.6568272944535613,0.2018108028547322,0.30805287770564743,0.9393500691413892,0.8403848481641638,0.05569595141188698,0.9512168176145903,0.8770989568970299,0.04146670629232458,0.9280019224223619,0.583619651984392,0.6965081192856578,0.2465668444457169,0.26996556169523306,0.0,12.519410455226899
LiWP_n3_minDf1_SPARSE,LiWP,within_feature,LR+LinearSVC+KNN+DT+RF,All_Soft,0.6561945090002483,0.2020787657186983,0.3078546067441085,0.939028863140876,0.8402183665313612,0.05577794017522696,0.9510242938766025,0.8770021546025835,0.041611637793782554,0.9278596089258783,0.583066117582646,0.695884270625705,0.24670725049936154,0.2700020367467248,0.0,12.519133567810059
