combo,fids,source,target,fold,system,n_participants,fusion,threshold_mode,acc,prec,rec,f1,tn,fp,fn,tp,roc_auc,pr_auc,fpr,threshold
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold0,cross_feature,3,Hard,val_f1,0.3627195836044242,0.4528301886792453,0.024628014366341714,0.04671532846715328,1067,58,1901,48,0.48683929080440114,0.6346292580142378,0.051555555555555556,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold1,cross_feature,3,Soft,fixed_05,0.3731294729993494,0.7291666666666666,0.017957927142124165,0.03505257886830245,1112,13,1914,35,0.9112789464682743,0.906265161513988,0.011555555555555555,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold1,cross_feature,3,Soft,val_f1,0.5234222511385817,0.8793103448275862,0.2878399179066188,0.43370699652106687,1048,77,1388,561,0.9112789464682743,0.906265161513988,0.06844444444444445,0.32999999999999996
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold1,cross_feature,3,WeightedSoft,fixed_05,0.3731294729993494,0.7291666666666666,0.017957927142124165,0.03505257886830245,1112,13,1914,35,0.9133372099652244,0.9078274648755748,0.011555555555555555,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold1,cross_feature,3,WeightedSoft,val_f1,0.5217957059206246,0.8832,0.2832221652129297,0.4289044289044289,1052,73,1397,552,0.9133372099652244,0.9078274648755748,0.06488888888888888,0.33499999999999996
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold1,cross_feature,3,Hard,fixed_05,0.37247885491216653,0.717391304347826,0.01693175987685993,0.03308270676691729,1112,13,1916,33,0.4898398038880338,0.6352038301477012,0.011555555555555555,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold1,cross_feature,3,Hard,val_f1,0.36467143786597267,0.4791666666666667,0.023601847101077475,0.044987775061124696,1075,50,1903,46,0.4898398038880338,0.6352038301477012,0.044444444444444446,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold2,cross_feature,3,Soft,fixed_05,0.3737800910865322,0.7068965517241379,0.02103642893791688,0.0408570004982561,1108,17,1908,41,0.8628032609315317,0.8842263051003267,0.015111111111111112,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold2,cross_feature,3,Soft,val_f1,0.5120364346128823,0.8626817447495961,0.27398665982555154,0.4158878504672897,1040,85,1415,534,0.8628032609315317,0.8842263051003267,0.07555555555555556,0.33499999999999996
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold2,cross_feature,3,WeightedSoft,fixed_05,0.3737800910865322,0.7068965517241379,0.02103642893791688,0.0408570004982561,1108,17,1908,41,0.8656655834901089,0.8853682273283894,0.015111111111111112,0.5
