combo,source,fusion,threshold_mode,f1_mean,f1_std,prec_mean,rec_mean,roc_auc_mean,fpr_mean,threshold_mean,threshold_std
n2_x_SG,best_single,Hard,val_f1,0.7815441069885563,0.2487654914854024,0.9154816366216434,0.7642735666234524,0.8705597176259483,0.16006627125345987,0.39124999999999993,0.1995306993923491
n2_x_n3,best_single,Hard,val_f1,0.7555158575437344,0.24986192936638976,0.9086174271302495,0.7321178428495111,0.8685453624935278,0.17093248319493873,0.31162499999999993,0.22779147994017096
n2_n3_SG,ENS_Fast2_Soft,WeightedSoft,val_f1,0.6741983333007214,0.27713918202025944,0.9026832529070331,0.6164852696294811,0.9050817990736428,0.07767884539343614,0.33299999999999996,0.02805214923892777
n2_x_n3,ENS_Fast2_Soft,WeightedSoft,val_f1,0.6738897606204913,0.2658590842361879,0.906746389079162,0.6086390430891027,0.9044516245187639,0.07125678133649664,0.31575,0.040008813131672975
n2_n3_SG,ENS_Fast2_Soft,Soft,val_f1,0.6730522480485257,0.27834378936419824,0.9023333850220296,0.6149619259664036,0.9024667349389677,0.07867941874258601,0.33412499999999995,0.026137886344616737
n2_x_n3,ENS_Fast2_Soft,Soft,val_f1,0.6729376458672507,0.26751383643364324,0.9061445147690309,0.6079637202912024,0.9042199264331569,0.07123457888493476,0.31487499999999996,0.038555446254678945
n2_x_SG,ENS_Fast2_Soft,WeightedSoft,val_f1,0.6689340585504999,0.25947745962147234,0.8832616842729465,0.613633828598521,0.8860636762647509,0.100572558323448,0.34712499999999996,0.021599130443085802
n3_x_SG,ENS_Fast2_Soft,Soft,val_f1,0.6688524098935316,0.28642929565939157,0.9005317393723722,0.6113864326679472,0.8932240979841568,0.07723604191379993,0.35899999999999993,0.019552690155262318
n2_x_SG,ENS_Fast2_Soft,Soft,val_f1,0.6685457226188071,0.260098090872297,0.8827237419083422,0.6130365385754966,0.8841377187472454,0.10081727955713722,0.3486249999999999,0.022898535951408526
n3_x_SG,ENS_Fast2_Soft,WeightedSoft,val_f1,0.6580512324625416,0.29148725810671006,0.8988512454943679,0.6019221364658798,0.8964912854485692,0.0775245749308027,0.3549999999999999,0.023831674677804702
n2_x_SG,ENS_All_Soft,Soft,val_f1,0.6514984139319048,0.309732460516416,0.911579462561787,0.5915625727863487,0.9153212720443756,0.06347671016211942,0.37049999999999994,0.01992936243785754
n2_x_SG,ENS_All_Soft,WeightedSoft,val_f1,0.6504015668040408,0.3106575023889694,0.9123705455882485,0.5911381627972166,0.9162093955115257,0.0632770462633452,0.3702499999999999,0.01853444471856767
n3_x_SG,ENS_All_Soft,WeightedSoft,val_f1,0.6466629315664602,0.3138607435566935,0.9128237002073739,0.5897816774257947,0.9224166783730041,0.06185452748121787,0.36299999999999993,0.0167867469092398
n2_x_SG,ENS_Best2_Soft,Soft,val_f1,0.646558646872236,0.3177102497653006,0.9028136167517964,0.587819052830819,0.9268533933182613,0.06330025701858441,0.37149999999999994,0.027460927954141744
n3_x_SG,ENS_All_Soft,Soft,val_f1,0.6463956289360465,0.3137900677865342,0.9133983360697286,0.588748981067965,0.9209679307212978,0.06134357453538948,0.365625,0.017584502938375705
n2_x_n3,ENS_All_Soft,WeightedSoft,val_f1,0.6450315577551908,0.3244557336972446,0.9219429310823983,0.5839153878301281,0.9379489974252608,0.049875504151838675,0.34287499999999993,0.0278016670778515
n2_n3_SG,ENS_All_Soft,Soft,val_f1,0.644357872951408,0.31985753265424016,0.9193907384607034,0.5848397516636046,0.9265520725449132,0.05549679715302491,0.35874999999999996,0.01845819948437897
n2_n3_SG,ENS_All_Soft,WeightedSoft,val_f1,0.6427586373441444,0.3219189896994129,0.920380327872682,0.5837769486160785,0.9275859452375685,0.0540077500988533,0.36049999999999993,0.01842517786853575
n2_x_SG,ENS_Best2_Soft,WeightedSoft,val_f1,0.6426294166945513,0.32506199756029236,0.9031289184747566,0.5866193412386875,0.9276645497579038,0.06150021747726374,0.37462499999999993,0.028202279867833184
n3_x_SG,ENS_Best2_Soft,WeightedSoft,val_f1,0.6414659534967854,0.3294367066793901,0.9079825967980018,0.5852075308462232,0.9299418621008886,0.05781039936733887,0.36649999999999994,0.025323547367658662
n3_x_SG,ENS_Best2_Soft,Soft,val_f1,0.6412819946102801,0.3267023004301935,0.9069978549040029,0.5832810722974369,0.9292388482569752,0.0584995057334915,0.36624999999999996,0.02347256991600066
n2_x_n3,ENS_All_Soft,Soft,val_f1,0.6404057183504678,0.32933521478109773,0.9203729166181196,0.5804812646390372,0.9375893809801861,0.049431000395413205,0.344375,0.026655145748462804
n2_n3_SG,ENS_Fast2_Soft,Hard,val_f1,0.6335578826923117,0.29495416296915616,0.8964019968635608,0.5666291314399311,0.7593806641256828,0.0732125345986556,0.05,0.0
n2_n3_SG,ENS_Best2_Soft,WeightedSoft,val_f1,0.6317566485671302,0.3299341977937657,0.91612751275231,0.5693332656919541,0.9337076731279741,0.05000960854092527,0.3661249999999999,0.026177096565803172
n2_n3_SG,ENS_Best2_Soft,Soft,val_f1,0.628672158857933,0.3325977292927444,0.9133332162903484,0.566980675950486,0.9327332948251161,0.050654250691973116,0.36599999999999994,0.026292243177067468
n2_x_n3,ENS_Best2_Soft,WeightedSoft,val_f1,0.6278750797593875,0.32917728515029404,0.9246576499575093,0.5626262065743484,0.9319286868922383,0.046762850929221035,0.34312499999999996,0.02414399909517255
